251.903,249.922, -0.265858
247.772,247.105, 2.3012
243.027,245.528, -10.135
240.111,241.466, -7.48765
235.121,241.152, -4.81592
230.159,241.768, -18.2638
229.932,236.773, -27.1061
226.485,233.151, -26.1937
222.475,230.165, -34.6242
217.639,228.896, -36.3912
212.949,227.162, -24.4328
208.102,225.933, -20.4426
203.433,227.722, -32.1071
199.231,230.432, -47.884
194.231,230.456, -47.5524
189.355,231.563, -47.3356
184.755,233.522, -43.2383
179.785,232.974, -48.6349
175.631,235.756, -48.6842
170.641,236.07, -59.9809
167.503,232.177, -56.8849
162.556,231.455, -60.5677
160.731,226.8, -53.7747
156.761,223.76, -67.8232
153.664,219.835, -57.4949
152.213,215.05, -46.286
148.113,212.189, -59.9478
144.579,208.651, -57.4056
139.579,208.658, -55.0038
134.587,208.936, -49.3857
129.591,209.13, -48.3892
125.082,211.291, -45.5576
120.399,209.539, -42.8499
115.629,211.039, -47.6106
111.083,213.121, -35.7585
107.526,209.607, -32.0976
102.617,208.655, -24.3822
99.4975,204.748, -10.5668
94.6885,203.379, -11.2554
91.1147,199.882, 5.23435
88.0102,195.963, 11.2517
88.7472,191.017, 18.926
83.9506,189.606, 36.138
79.2099,188.017, 38.4257
75.9631,184.214, 47.0563
72.1426,180.989, 41.0404
67.8032,178.505, 35.7571
62.8907,177.574, 36.1374
57.8918,177.681, 35.1867
53.4156,175.453, 20.8842
53.0819,170.464, 33.6363
48.559,168.333, 29.9717
45.3933,164.462, 46.0204
49.3492,161.404, 52.7443
47.6589,156.699, 44.938
48.6706,151.802, 35.8534
50.1886,147.038, 26.7347
50.0943,142.039, 26.6975
45.7244,139.609, 16.7159
48.3611,135.361, 4.21202
45.0425,131.621, -11.4597
47.3833,127.203, -10.0679
48.5339,122.337, -26.6047
43.8474,120.595, -24.5081
40.2011,117.173, -35.146
43.179,113.157, -18.0348
42.4343,108.213, -22.7903
40.8297,103.477, -12.7028
37.0742,100.176, -29.9245
38.1098,95.2846, -35.215
39.6236,90.5192, -31.4494
41.243,85.7887, -35.621
39.1114,81.2659, -23.5019
35.1317,78.239, -22.8808
36.4692,73.4212, -6.26634
34.2946,68.9188, -2.15396
32.0067,64.473, -0.692866
28.013,61.4646, -13.0179
26.303,56.7661, -27.1194
22.8333,53.1659, -36.8699
19.229,49.7005, -28.9764
14.3467,48.6223, -39.1015
10.8962,45.0037, -50.8789
8.53569,40.596, -48.5642
3.88133,38.7693, -38.6175
3.19049,33.8172, -35.787
3.32932,28.8191, -40.5031
3.25478,23.8197, -30.8539
3.39243,18.8216, -17.958
3.26287,13.8233, -35.2049
3.222,8.82344, -41.3078
3.06162e-16,5, -48.6672
0,0, 0
